First Name,Last Name,Email,Mobile,Broker,Broker Email,Policy Number,Policy Expires At,Policy Type,Policy Status,Vehicle Registration Number,Vehicle Chassis Number,Vehicle Engine Number,Vehicle Manufacturer,Vehicle Estimate,Vehicle Color,Vehicle Gear Type,Vehicle Year
User,One,user_one@mail.com,2348123456789,Broker One,brokerone@mail.com,1234567890,2022/01/01,Comprehensive,Active,10000000011,123456780,123456780,Toyota,1000000,Black,Auto,2002
User,Two,user_two@mail.com,2348123456788,Broker Two,brokertwo@mail.com,1234567891,2022/01/02,Third Party,Active,10000000012,123456781,123456781,Toyota,1000000,Black,Auto,2002
User,One,user_one@mail.com,2348123456789,,,1234567892,2022/01/03,Comprehensive,Expired,10000000013,123456782,123456782,Honda,1000000,Black,Maual,2002
User,One,user_one@mail.com,2348123456789,,,1234567893,2022/01/04,Third Party,Active,10000000014,123456783,123456783,Toyota,1000000,Black,Maual,2002
User,One,user_one@mail.com,2348123456789,,,1234567894,2022/01/05,Third Party,Active,10000000015,123456784,123456784,Toyota,1000000,Black,Maual,2002
User,One,user_one@mail.com,2348123456789,,,1234567895,2022/01/06,Comprehensive,Active,10000000016,123456785,123456785,Toyota,1000000,Black,Maual,2002
User,One,user_one@mail.com,2348123456789,Broker One,brokerone@mail.com,1234567896,2022/01/07,Comprehensive,Active,10000000017,123456786,123456786,Toyota,1000000,Black,Maual,2002
User,One,user_one@mail.com,2348123456789,,,1234567897,2022/01/08,Third Party,Active,10000000018,123456787,123456787,Toyota,1000000,Black,Maual,2002
User,One,user_one@mail.com,2348123456789,Broker Two,brokertwo@mail.com,1234567898,2022/01/09,Third Party,Active,10000000019,123456788,123456788,Toyota,1000000,Black,Auto,2002
User,One,user_one@mail.com,2348123456789,Broker One,brokerone@mail.com,1234567899,2022/01/10,Comprehensive,Active,10000000010,123456789,123456789,Toyota,1000000,Black,Auto,2002
User,One,user_one@mail.com,2348123456789,Broker One,brokerone@mail.com,1234567900,2022/01/11,Comprehensive,Active,10000000200,123456790,123456790,Toyota,1000000,Black,Auto,2002
